Date,Close,NominalReturn_MSCIEAFE
1989/11,1011.55,0.0492
1989/12,1047.86,0.0359
1990/01,1007.8,-0.0382
1990/02,936.39,-0.0709
1990/03,837.74,-0.1054
1990/04,830,-0.0092
1990/05,923.6,0.1128
1990/06,914.3,-0.0101
1990/07,925.96,0.0128
1990/08,834.82,-0.0984
1990/09,717.24,-0.1408
1990/10,827.71,0.1540
1990/11,777.6,-0.0605
1990/12,788.98,0.0146
1991/01,813.17,0.0307
1991/02,899.06,0.1056
1991/03,843.88,-0.0614
1991/04,851.01,0.0084
1991/05,858.71,0.0090
1991/06,794.46,-0.0748
1991/07,832.3,0.0476
1991/08,814.18,-0.0218
1991/09,858.85,0.0549
1991/10,869.77,0.0127
1991/11,827.91,-0.0481
1991/12,869.35,0.0501
1992/01,849.52,-0.0228
1992/02,817.86,-0.0373
1992/03,762.62,-0.0675
1992/04,764.95,0.0031
1992/05,814.85,0.0652
1992/06,774.89,-0.0490
1992/07,753.7,-0.0273
1992/08,799.58,0.0609
1992/09,782.45,-0.0214
1992/10,740.17,-0.0540
1992/11,745.94,0.0078
1992/12,748.62,0.0036
1993/01,747.35,-0.0017
1993/02,768.77,0.0287
1993/03,834.6,0.0856
1993/04,912.59,0.0934
1993/05,930.65,0.0198
1993/06,914.94,-0.0169
1993/07,945.8,0.0337
1993/08,995.68,0.0527
1993/09,972.07,-0.0237
1993/10,1000.85,0.0296
1993/11,912.19,-0.0886
1993/12,976.9,0.0709
1994/01,1058.31,0.0833
1994/02,1054.18,-0.0039
1994/03,1007.54,-0.0442
1994/04,1049.07,0.0412
1994/05,1041.82,-0.0069
1994/06,1055.28,0.0129
1994/07,1064.17,0.0084
1994/08,1088.09,0.0225
1994/09,1052.51,-0.0327
1994/10,1086.22,0.0320
1994/11,1032.7,-0.0493
1994/12,1037.86,0.0050
1995/01,996.67,-0.0397
1995/02,992.45,-0.0035
1995/03,1052.89,0.0644
1995/04,1091.01,0.0374
1995/05,1076.54,-0.0098
1995/06,1056.17,-0.0165
1995/07,1120.42,0.0619
1995/08,1076.24,-0.0386
1995/09,1095.8,0.0207
1995/10,1064.88,-0.0277
1995/11,1093.06,0.0274
1995/12,1135.63,0.0399
1996/01,1138.87,0.0032
1996/02,1141.23,0.0027
1996/03,1163.96,0.0229
1996/04,1196.3,0.0295
1996/05,1172.77,-0.0164
1996/06,1177.85,0.0066
1996/07,1141.88,-0.0295
1996/08,1142.83,0.0021
1996/09,1171.65,0.0273
1996/10,1158.11,-0.0110
1996/11,1202.61,0.0393
1996/12,1185.57,-0.0133
1997/01,1142.58,-0.0358
1997/02,1159.75,0.0157
1997/03,1162.4,0.0052
1997/04,1167.03,0.0058
1997/05,1241.39,0.0672
1997/06,1308.28,0.0563
1997/07,1327.92,0.0160
1997/08,1227.21,-0.0747
1997/09,1294.42,0.0568
1997/10,1193.35,-0.0777
1997/11,1179.63,-0.0107
1997/12,1188.39,0.0083
1998/01,1241.2,0.0448
1998/02,1319.25,0.0636
1998/03,1358.27,0.0325
1998/04,1367.39,0.0084
1998/05,1359.14,-0.0033
1998/06,1367.81,0.0090
1998/07,1380.06,0.0097
1998/08,1207.45,-0.1238
1998/09,1168.77,-0.0304
1998/10,1288.93,0.1034
1998/11,1353.32,0.0508
1998/12,1405.04,0.0387
1999/01,1399.24,-0.0038
1999/02,1364.23,-0.0244
1999/03,1419.51,0.0439
1999/04,1475.36,0.0411
1999/05,1397.72,-0.0480
1999/06,1450.56,0.0401
1999/07,1491.97,0.0294
1999/08,1495.71,0.0042
1999/09,1509.06,0.0103
1999/10,1563.88,0.0369
1999/11,1616.56,0.0344
1999/12,1760.04,0.0893
2000/01,1646.62,-0.0642
2000/02,1689.34,0.0267
2000/03,1753.16,0.0401
2000/04,1659.28,-0.0518
2000/05,1617.13,-0.0226
2000/06,1678.61,0.0398
2000/07,1606.61,-0.0422
2000/08,1618.94,0.0092
2000/09,1538.51,-0.0485
2000/10,1500.6,-0.0242
2000/11,1442.76,-0.0379
2000/12,1492.41,0.0351
2001/01,1491.3,-0.0005
2001/02,1378.2,-0.0748
2001/03,1282.99,-0.0662
2001/04,1369.47,0.0703
2001/05,1317.21,-0.0342
2001/06,1261.49,-0.0399
2001/07,1238.01,-0.0181
2001/08,1204.49,-0.0251
2001/09,1080.95,-0.1014
2001/10,1108.34,0.0258
2001/11,1148.35,0.0371
2001/12,1154.96,0.0060
2002/01,1093.11,-0.0531
2002/02,1099.39,0.0070
2002/03,1155.6,0.0545
2002/04,1160.74,0.0072
2002/05,1171.51,0.0135
2002/06,1123.01,-0.0394
2002/07,1011.34,-0.0987
2002/08,1006.55,-0.0020
2002/09,897.05,-0.1071
2002/10,944.62,0.0538
2002/11,986.38,0.0454
2002/12,952.65,-0.0334
2003/01,912.39,-0.0417
2003/02,889.82,-0.0229
2003/03,868.55,-0.0188
2003/04,950.03,0.0991
2003/05,1003.78,0.0613
2003/06,1025.74,0.0247
2003/07,1049.47,0.0243
2003/08,1072.14,0.0243
2003/09,1103.39,0.0311
2003/10,1171.47,0.0624
2003/11,1195.82,0.0222
2003/12,1288.77,0.0784
2004/01,1306.43,0.0142
2004/02,1334.96,0.0232
2004/03,1337.07,0.0061
2004/04,1302.92,-0.0218
2004/05,1302.04,0.0042
2004/06,1327.97,0.0223
2004/07,1283.96,-0.0324
2004/08,1286.26,0.0046
2004/09,1318.03,0.0265
2004/10,1362.19,0.0339
2004/11,1452.59,0.0685
2004/12,1515.48,0.0439
2005/01,1486.97,-0.0182
2005/02,1548.6,0.0434
2005/03,1503.85,-0.0246
2005/04,1462.87,-0.0224
2005/05,1457.36,0.0014
2005/06,1473.72,0.0137
2005/07,1518.15,0.0307
2005/08,1552.51,0.0255
2005/09,1618.84,0.0447
2005/10,1570.83,-0.0292
2005/11,1606.14,0.0247
2005/12,1680.13,0.0466
2006/01,1782.57,0.0614
2006/02,1776.42,-0.0021
2006/03,1827.65,0.0336
2006/04,1910.15,0.0484
2006/05,1826.73,-0.0378
2006/06,1822.88,0.0004
2006/07,1839.66,0.0099
2006/08,1885.49,0.0277
2006/09,1885.26,0.0018
2006/10,1957.64,0.0389
2006/11,2012.31,0.0301
2006/12,2074.48,0.0315
2007/01,2087.68,0.0068
2007/02,2102.26,0.0082
2007/03,2147.51,0.0261
2007/04,2235.4,0.0452
2007/05,2263.21,0.0186
2007/06,2262.24,0.0016
2007/07,2227.5,-0.0148
2007/08,2187.29,-0.0154
2007/09,2300.38,0.0537
2007/10,2388.74,0.0394
2007/11,2306.29,-0.0327
2007/12,2253.36,-0.0224
2008/01,2044.11,-0.0923
2008/02,2070.06,0.0146
2008/03,2038.62,-0.0100
2008/04,2139.53,0.0555
2008/05,2145.47,0.0114
2008/06,1967.19,-0.0815
2008/07,1902.74,-0.0321
2008/08,1821.06,-0.0403
2008/09,1553.15,-0.1443
2008/10,1238.81,-0.2018
2008/11,1168.23,-0.0536
2008/12,1237.42,0.0602
2009/01,1115.14,-0.0980
2009/02,997.65,-0.1023
2009/03,1056.23,0.0640
2009/04,1185.84,0.1297
2009/05,1317.31,0.1199
2009/06,1307.16,-0.0053
2009/07,1425.4,0.0913
2009/08,1498.97,0.0545
2009/09,1552.84,0.0384
2009/10,1532.74,-0.0125
2009/11,1559.57,0.0202
2009/12,1580.77,0.0145
2010/01,1510.61,-0.0440
2010/02,1497.34,-0.0068
2010/03,1584.28,0.0631
2010/04,1551.03,-0.0174
2010/05,1363.93,-0.1140
2010/06,1348.11,-0.0094
2010/07,1474.91,0.0948
2010/08,1425.72,-0.0309
2010/09,1561.01,0.0982
2010/10,1616.41,0.0361
2010/11,1535.13,-0.0480
2010/12,1658.3,0.0811
2011/01,1696.38,0.0237
2011/02,1749.01,0.0332
2011/03,1702.55,-0.0219
2011/04,1797.52,0.0602
2011/05,1732.84,-0.0286
2011/06,1708.08,-0.0122
2011/07,1679.84,-0.0158
2011/08,1523.58,-0.0902
2011/09,1373.33,-0.0948
2011/10,1505,0.0964
2011/11,1427.27,-0.0485
2011/12,1412.55,-0.0094
2012/01,1486.74,0.0534
2012/02,1567.67,0.0577
2012/03,1553.46,-0.0040
2012/04,1516.21,-0.0192
2012/05,1332.89,-0.1139
2012/06,1423.38,0.0705
2012/07,1438.57,0.0114
2012/08,1472.51,0.0269
2012/09,1510.76,0.0299
2012/10,1522.23,0.0083
2012/11,1555.73,0.0242
2012/12,1604,0.0321
