Date,Close,NominalReturn_LUATTRUU
1998/11,981.58,-0.0002
1998/12,983.5,0.0020
1999/01,989.21,0.0058
1999/02,963.96,-0.0255
1999/03,967.66,0.0038
1999/04,969.96,0.0024
1999/05,960.91,-0.0093
1999/06,958.9,-0.0021
1999/07,958.09,-0.0008
1999/08,958.23,0.0001
1999/09,965.57,0.0077
1999/10,966.62,0.0011
1999/11,964.78,-0.0019
1999/12,958.37,-0.0066
2000/01,960.87,0.0026
2000/02,975.32,0.0150
2000/03,994.69,0.0199
2000/04,991.54,-0.0032
2000/05,993.06,0.0015
2000/06,1009.8,0.0169
2000/07,1020.2,0.0103
2000/08,1035.18,0.0147
2000/09,1036,0.0008
2000/10,1046.1,0.0097
2000/11,1067.54,0.0205
2000/12,1087.91,0.0191
2001/01,1096.76,0.0081
2001/02,1110.02,0.0121
2001/03,1113.58,0.0032
2001/04,1099.74,-0.0124
2001/05,1103.17,0.0031
2001/06,1109.09,0.0054
2001/07,1136.76,0.0249
2001/08,1151.82,0.0132
2001/09,1170.1,0.0159
2001/10,1202.51,0.0277
2001/11,1172.74,-0.0248
2001/12,1161.32,-0.0097
2002/01,1169.14,0.0067
2002/02,1179.67,0.0090
2002/03,1151.29,-0.0241
2002/04,1179.93,0.0249
2002/05,1186.54,0.0056
2002/06,1203.29,0.0141
2002/07,1231.8,0.0237
2002/08,1258.43,0.0216
2002/09,1292.36,0.0270
2002/10,1278.06,-0.0111
2002/11,1265.4,-0.0099
2002/12,1298.28,0.0260
2003/01,1294.33,-0.0030
2003/02,1316.6,0.0172
2003/03,1311.12,-0.0042
2003/04,1317.22,0.0047
2003/05,1355.21,0.0288
2003/06,1346.91,-0.0061
2003/07,1287.75,-0.0439
2003/08,1295.39,0.0059
2003/09,1334.45,0.0302
2003/10,1314.09,-0.0153
2003/11,1315.73,0.0012
2003/12,1327.38,0.0089
2004/01,1338.69,0.0085
2004/02,1355.28,0.0124
2004/03,1368,0.0094
2004/04,1324,-0.0322
2004/05,1319.45,-0.0034
2004/06,1324.75,0.0040
2004/07,1337.36,0.0095
2004/08,1365.02,0.0207
2004/09,1368.53,0.0026
2004/10,1379.38,0.0079
2004/11,1360.85,-0.0134
2004/12,1374.34,0.0099
2005/01,1384.37,0.0073
2005/02,1373.07,-0.0082
2005/03,1368.6,-0.0033
2005/04,1392.66,0.0176
2005/05,1409.67,0.0122
2005/06,1418.31,0.0061
2005/07,1399.08,-0.0136
2005/08,1421.3,0.0159
2005/09,1402.44,-0.0133
2005/10,1391.47,-0.0078
2005/11,1398.22,0.0049
2005/12,1412.71,0.0104
2006/01,1408.5,-0.0030
2006/02,1410.55,0.0015
2006/03,1395.33,-0.0108
2006/04,1389.58,-0.0041
2006/05,1390.04,0.0003
2006/06,1394.47,0.0032
2006/07,1411.74,0.0124
2006/08,1432.46,0.0147
2006/09,1445.76,0.0093
2006/10,1453.1,0.0051
2006/11,1468.28,0.0104
2006/12,1456.21,-0.0082
2007/01,1453.89,-0.0016
2007/02,1478,0.0166
2007/03,1477.28,-0.0005
2007/04,1484.89,0.0052
2007/05,1471.56,-0.0090
2007/06,1470.92,-0.0004
2007/07,1495.31,0.0166
2007/08,1518.75,0.0157
2007/09,1526.94,0.0054
2007/10,1538.95,0.0079
2007/11,1586.18,0.0307
2007/12,1587.45,0.0008
2008/01,1627.75,0.0254
2008/02,1646.3,0.0114
2008/03,1657.72,0.0069
2008/04,1629.23,-0.0172
2008/05,1610.21,-0.0117
2008/06,1622.86,0.0079
2008/07,1629.72,0.0042
2008/08,1650.08,0.0125
2008/09,1660.18,0.0061
2008/10,1658.35,-0.0011
2008/11,1746.36,0.0531
2008/12,1805.52,0.0339
2009/01,1752.87,-0.0292
2009/02,1743.65,-0.0053
2009/03,1781.64,0.0218
2009/04,1749.14,-0.0182
2009/05,1731.49,-0.0101
2009/06,1727.82,-0.0021
2009/07,1735.05,0.0042
2009/08,1750.5,0.0089
2009/09,1764.12,0.0078
2009/10,1763.26,-0.0005
2009/11,1787.81,0.0139
2009/12,1741.11,-0.0261
2010/01,1768.63,0.0158
2010/02,1775.62,0.0040
2010/03,1760.58,-0.0085
2010/04,1779.03,0.0105
2010/05,1809.46,0.0171
2010/06,1843.06,0.0186
2010/07,1855.63,0.0068
2010/08,1892.89,0.0201
2010/09,1893.29,0.0002
2010/10,1890.3,-0.0016
2010/11,1877.09,-0.0070
2010/12,1843.32,-0.0180
2011/01,1842.86,-0.0002
2011/02,1841.49,-0.0007
2011/03,1840.37,-0.0006
2011/04,1861.6,0.0115
2011/05,1890.67,0.0156
2011/06,1884.28,-0.0034
2011/07,1918.62,0.0182
2011/08,1971.91,0.0278
2011/09,2006.35,0.0175
2011/10,1989.99,-0.0082
2011/11,2004.84,0.0075
2011/12,2024.21,0.0097
2012/01,2032.77,0.0042
2012/02,2018.29,-0.0071
2012/03,1998.04,-0.0100
2012/04,2027.1,0.0145
2012/05,2061.85,0.0171
2012/06,2054.68,-0.0035
2012/07,2075.36,0.0101
2012/08,2072.69,-0.0013
2012/09,2066.35,-0.0031
2012/10,2062.85,-0.0017
2012/11,2073.58,0.0052
2012/12,2064.56,-0.0043
