Date,Close,NominalReturn_FNERTR
2010/12,8347.58,0.0466
2011/01,8691.91,0.0412
2011/02,9090.25,0.0458
2011/03,8973.82,-0.0128
2011/04,9432.7,0.0511
2011/05,9526.95,0.01
2011/06,9234.38,-0.0307
2011/07,9331.56,0.0105
2011/08,8809.33,-0.056
2011/09,7842.65,-0.1097
2011/10,8962.35,0.1428
2011/11,8625.48,-0.0376
2011/12,9039.07,0.048
2012/01,9613.8,0.0636
2012/02,9526.22,-0.0091
2012/03,9987.37,0.0484
2012/04,10254.33,0.0267
2012/05,9802.04,-0.0441
2012/06,10386.82,0.0597
2012/07,10612.21,0.0217
2012/08,10624.91,0.0012
2012/09,10493.88,-0.0123
2012/10,10467.52,-0.0025
2012/11,10439.07,-0.0027
2012/12,10819.84,0.0365
