Date,Close,NominalReturn
1998/12,1190.05,0.043010865
1999/01,1248.77,0.049307009
1999/02,1246.58,-0.000548017
1999/03,1281.66,0.027549053
1999/04,1334.76,0.036851061
1999/05,1332.07,0.000735619
1999/06,1322.55,-0.004496218
1999/07,1380.99,0.04386265
1999/08,1327.49,-0.03817579
1999/09,1318.17,-0.008548106
1999/10,1300.01,-0.012375057
1999/11,1391,0.072583299
1999/12,1428.68,0.030298379
2000/01,1425.59,-0.001892282
2000/02,1388.87,-0.027876704
2000/03,1442.21,0.033989725
2000/04,1461.36,0.016175296
2000/05,1418.48,-0.026902781
2000/06,1461.96,0.029304854
2000/07,1473,0.009161703
2000/08,1485.46,0.012189623
2000/09,1468.05,-0.013094323
2000/10,1390.14,-0.050948922
2000/11,1378.04,-0.005469715
2000/12,1330.93,-0.029867264
2001/01,1335.63,0.001291368
2001/02,1305.75,-0.022367528
2001/03,1185.85,-0.090467601
2001/04,1189.84,0.00318989
2001/05,1270.37,0.066938987
2001/06,1238.71,-0.02287037
2001/07,1204.45,-0.021620367
2001/08,1178.5,-0.018218424
2001/09,1044.64,-0.114273719
2001/10,1076.59,0.037079292
2001/11,1129.68,0.053874002
2001/12,1144.93,0.019964085
2002/01,1140.21,-0.004282132
2002/02,1100.67,-0.036389806
2002/03,1153.79,0.044804458
2002/04,1111.93,-0.03914721
2002/05,1079.25,-0.027216458
2002/06,1014.02,-0.058839372
2002/07,903.59,-0.107370042
2002/08,912.55,0.009512396
2002/09,867.81,-0.047909953
2002/10,854.63,-0.013621131
2002/11,909.93,0.068078357
2002/12,899.18,-0.006194571
2003/01,895.84,-0.004474473
2003/02,837.03,-0.068848596
2003/03,846.63,0.009516654
2003/04,890.03,0.056983531
2003/05,935.96,0.056541183
2003/06,988,0.057632954
2003/07,992.54,0.00661828
2003/08,989.53,-0.003656196
2003/09,1019.44,0.030194842
2003/10,1038.73,0.023088093
2003/11,1049.9,0.01632924
2003/12,1080.64,0.033330638
2004/01,1132.52,0.045857508
2004/02,1143.36,0.006853117
2004/03,1123.98,-0.020503648
2004/04,1133.36,0.008357858
2004/05,1102.78,-0.028788017
2004/06,1132.76,0.028019972
2004/07,1105.85,-0.018366782
2004/08,1088.94,-0.012196498
2004/09,1117.66,0.027766139
2004/10,1117.21,-0.001591259
2004/11,1168.94,0.050086862
2004/12,1199.21,0.033733189
2005/01,1181.41,-0.013101448
2005/02,1199.63,0.013471343
2005/03,1194.9,-0.007691348
2005/04,1164.43,-0.027712977
2005/05,1178.28,0.01672412
2005/06,1202.25,0.023382645
2005/07,1222.24,0.01600347
2005/08,1224.27,0.000989767
2005/09,1225.92,-0.005473091
2005/10,1191.96,-0.024627642
2005/11,1237.37,0.050885939
2005/12,1262.07,0.028413187
2006/01,1278.73,0.010266622
2006/02,1276.65,0.000782583
2006/03,1293.74,0.012046095
2006/04,1302.17,0.002401109
2006/05,1290.01,-0.009344147
2006/06,1253.17,-0.02543218
2006/07,1260.24,0.007635867
2006/08,1287.15,0.024053312
2006/09,1317.74,0.032081945
2006/10,1363.38,0.042904937
2006/11,1388.64,0.023181024
2006/12,1416.42,0.02207262
2007/01,1424.16,0.005589332
2007/02,1444.8,0.012556205
2007/03,1406.95,-0.031240916
2007/04,1463.64,0.037211755
2007/05,1511.14,0.02986595
2007/06,1514.19,0.003732678
2007/07,1520.71,0.00796123
2007/08,1454.62,-0.038609073
2007/09,1497.12,0.030197409
2007/10,1539.66,0.030631833
2007/11,1463.39,-0.050150839
2007/12,1479.22,0.016415129
2008/01,1378.76,-0.067460347
2008/02,1354.87,-0.015183536
2008/03,1316.94,-0.031363936
2008/04,1370.47,0.039385568
2008/05,1403.22,0.020484475
2008/06,1341.25,-0.047919105
2008/07,1257.33,-0.061136795
2008/08,1281.47,0.029570564
2008/09,1216.95,-0.043130676
2008/10,968.8,-0.190806563
2008/11,883.04,-0.067333419
2008/12,877.56,0.006963206
2009/01,865.58,-0.01525239
2009/02,805.23,-0.071481199
2009/03,757.13,-0.059521325
2009/04,848.15,0.119743247
2009/05,902.41,0.062397218
2009/06,926.12,0.018679748
2009/07,935.82,0.012569386
2009/08,1009.73,0.077492385
2009/09,1044.55,0.034730853
2009/10,1067.66,0.022853698
2009/11,1088.07,0.021701609
2009/12,1110.38,0.026264019
2010/01,1123.58,0.012267105
2010/02,1089.16,-0.027470462
2010/03,1152.05,0.056993018
2010/04,1197.32,0.04092279
2010/05,1125.06,-0.057880999
2010/06,1083.36,-0.033616007
2010/07,1079.8,-0.000769901
2010/08,1087.28,0.008205168
2010/09,1122.08,0.034066572
2010/10,1171.58,0.045454797
2010/11,1198.89,0.025434886
2010/12,1241.53,0.036604921
2011/01,1282.62,0.031082546
2011/02,1321.12,0.028201521
2011/03,1304.49,-0.018451846
2011/04,1331.51,0.018287638
2011/05,1338.31,0.004824526
2011/06,1287.29,-0.032655858
2011/07,1325.19,0.03309752
2011/08,1185.31,-0.10336327
2011/09,1173.88,-0.006209138
2011/10,1207.22,0.03523929
2011/11,1226.42,0.021344776
2011/12,1243.32,0.020522735
2012/01,1300.58,0.045661206
2012/02,1352.49,0.039441166
2012/03,1389.24,0.02328554
2012/04,1386.43,-0.001474556
2012/05,1341.27,-0.028342284
2012/06,1323.48,-0.008676169
2012/07,1359.78,0.032083898
2012/08,1403.45,0.029580455
2012/09,1443.42,0.027304531
2012/10,1437.82,3.32E-05
2012/11,1394.51,-0.0222588
2012/12,1422.29,0.025986992
