Date,Open,Close,NominalReturn
1958/04,42.11,42.34,0.008385987
1958/05,42.34,43.7,0.03819204
1958/06,43.7,44.75,0.029668542
1958/07,44.75,45.98,0.029191714
1958/08,45.98,47.7,0.04589333
1958/09,47.7,48.96,0.031187301
1958/10,48.96,50.95,0.045351203
1958/11,50.95,52.5,0.031454087
1958/12,52.5,53.49,0.026625419
1959/01,53.49,55.62,0.040120356
1959/02,55.62,54.77,-0.008353922
1959/03,54.77,56.16,0.02836083
1959/04,56.16,57.1,0.016147024
1959/05,57.1,57.96,0.017951832
1959/06,57.96,57.46,-0.00889377
1959/07,57.46,59.74,0.039288893
1959/08,59.74,59.4,-0.00231484
1959/09,59.4,57.05,-0.039163469
1959/10,57.05,57,-0.000199762
1959/11,57,57.23,0.007842997
1959/12,57.23,59.06,0.036071368
1960/01,59.06,58.03,-0.010585585
1960/02,58.03,55.78,-0.037888123
1960/03,55.78,55.02,-0.009296219
1960/04,55.02,55.73,0.013829767
1960/05,55.73,55.22,-0.004814849
1960/06,55.22,57.26,0.037793473
1960/07,57.26,55.84,-0.020826782
1960/08,55.84,56.51,0.016043115
1960/09,56.51,54.81,-0.02635831
1960/10,54.81,53.73,-0.022211931
1960/11,53.73,55.47,0.036535302
1960/12,55.47,56.8,0.028033214
1961/01,56.8,59.72,0.055675548
1961/02,59.72,62.17,0.044863284
1961/03,62.17,64.12,0.035092785
1961/04,64.12,65.83,0.030033593
1961/05,65.83,66.5,0.013477084
1961/06,66.5,65.62,-0.010240678
1961/07,65.62,65.44,-0.005816566
1961/08,65.44,67.79,0.042711789
1961/09,67.79,67.26,-0.007604954
1961/10,67.26,68,0.014012819
1961/11,68,71.08,0.048302669
1961/12,71.08,71.74,0.012211107
1962/01,71.74,69.07,-0.034305976
1962/02,69.07,70.22,0.016552355
1962/03,70.22,70.29,0.00425291
1962/04,70.29,68.05,-0.031543541
1962/05,68.05,62.99,-0.070730858
1962/06,62.99,55.63,-0.113006898
1962/07,55.63,56.97,0.024623072
1962/08,56.97,58.52,0.031348132
1962/09,58.52,58,-0.00808951
1962/10,58,56.17,-0.027434889
1962/11,56.17,60.04,0.073137685
1962/12,60.04,62.64,0.047365204
1963/01,62.64,65.06,0.042580365
